codigo_super_cias,codigo_sri,nombre_cuenta,nombre_sri,depreciacion
10102050221,326,OTRAS CUENTAS POR COBRAR NO RELACIONADAS,Locales,
1010206,,DOCUMENTOS Y CUENTAS POR COBRAR RELACIONADOS,,
101020601,318,POR COBRAR A ACCIONISTAS,Locales,
101020602,318,POR COBRAR A COMPAÑÍAS RELACIONADAS,Locales,
101020603,312,POR COBRAR A CLIENTES,Locales,
101020603,313,POR COBRAR A CLIENTES,Del exterior,
101020604,322,OTRAS CUENTAS POR COBRAR RELACIONADAS,,
1010207,317,PROVISIÓN POR CUENTAS INCOBRABLES Y DETERIORO,(-) Deterioro acumulado del valor de cuentas y documentos por cobrar comerciales por incobrabilidad (provisiones para créditos incobrables),
10103,,INVENTARIOS,,
1010301,340,INVENTARIOS DE MATERIA PRIMA,Inventario de materia prima (no para la construcción),
1010302,341,INVENTARIOS DE PRODUCTOS EN PROCESO,Inventario de productos en proceso (excluyendo obras/inmuebles en construcción para la venta),
1010303,343,INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN EL PROCESO DE PRODUCCION,"Inventario de suministros, herramientas, repuestos y materiales (no para la construcción)",
1010304,343,INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN LA PRESTACION DEL SERVICIO,"Inventario de suministros, herramientas, repuestos y materiales (no para la construcción)",
1010305,342,INVENTARIOS DE PROD. TERM. Y MERCAD. EN ALMACÉN - PRODUCIDO POR LA COMPAÑÍA,Inventario de prod. term. y mercad. en almacén (excluyendo obras/inmuebles  terminados para la venta),
1010306,342,INVENTARIOS DE PROD. TERM. Y MERCAD. EN ALMACÉN - COMPRADO A  TERCEROS,Inventario de prod. term. y mercad. en almacén (excluyendo obras/inmuebles  terminados para la venta),
1010307,339,MERCADERÍAS EN TRÁNSITO,Mercaderías en tránsito,
1010308,345,OBRAS EN CONSTRUCCION,Inventario de obras/inmuebles en construcción para la venta,
1010309,346,OBRAS TERMINADAS,Inventario de obras/inmuebles terminados para la venta,
1010310,344,MATERIALES O BIENES PARA LA CONSTRUCCION,"Inventario de materia prima, suministros y materiales para la construcción",
1010311,343,"INVENTARIOS REPUESTOS, HERRAMIENTAS Y ACCESORIOS","Inventario de suministros, herramientas, repuestos y materiales (no para la construcción)",
1010312,343,OTROS INVENTARIOS,"Inventario de suministros, herramientas, repuestos y materiales (no para la construcción)",
1010313,347,(-) PROVISIÓN POR VALOR NETO DE REALIZACIÓN Y OTRAS PERDIDAS EN INVENTARIO,(-) Deterioro acumulado del valor de inventarios por ajuste al valor neto realizable,
10104,,SERVICIOS Y OTROS PAGOS ANTICIPADOS,,
1010401,358,SEGUROS PAGADOS POR ANTICIPADO,Primas de seguro pagadas por anticipado,
1010402,357,ARRIENDOS PAGADOS POR ANTICIPADO,Arrendamientos operativos pagados por anticipado,
1010403,359,ANTICIPOS A PROVEEDORES,Otros,
1010404,359,OTROS ANTICIPOS ENTREGADOS,Otros,
10105,,ACTIVOS POR IMPUESTOS CORRIENTES,,
1010501,336,CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA (IVA),Crédito tributario a favor del sujeto pasivo (IVA),
1010502,337,CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA ( I. R.),Crédito tributario a favor del sujeto pasivo (Impuesto a la Renta),
1010503,337,ANTICIPO DE IMPUESTO A LA RENTA,Crédito tributario a favor del sujeto pasivo (Impuesto a la Renta),
10106,348,ACTIVOS CORRIENTES MANTENIDOS PARA LA VENTA Y OPERACIONES DISCONTINUADAS,Costo,
10106,349,ACTIVOS CORRIENTES MANTENIDOS PARA LA VENTA Y OPERACIONES DISCONTINUADAS,(-) Deterioro acumulado del valor de activos no corrientes mantenidos para la venta,
10107,333,CONSTRUCCIONES EN PROCESO (NIC 11 Y SECC.23 PYMES),Relacionadas,
10107,334,CONSTRUCCIONES EN PROCESO (NIC 11 Y SECC.23 PYMES),No relacionadas,
10108,335,OTROS ACTIVOS CORRIENTES,Crédito tributario a favor del sujeto pasivo (ISD),
10108,360,OTROS ACTIVOS CORRIENTES,Otros Activos Corrientes,
102,,ACTIVOS NO CORRIENTES,,
10201,,"PROPIEDAD, PLANTA Y EQUIPO",,
1020101,362,TERRENOS,Costo histórico antes de reexpresiones o revaluaciones,
1020101,363,TERRENOS,Ajuste acumulado por reexpresiones o revaluaciones,
1020102,364,EDIFICIOS,Costo histórico antes de reexpresiones o revaluaciones,
1020102,365,EDIFICIOS,Ajuste acumulado por reexpresiones o revaluaciones,
1020103,372,CONSTRUCCIONES EN CURSO,Construcciones en Curso y Otros Activos en Tránsito,
1020104,368,INSTALACIONES,Costo histórico antes de reexpresiones o revaluaciones,
1020105,373,MUEBLES Y ENSERES,Muebles y enseres,
1020106,368,MAQUINARIA Y EQUIPO,Costo histórico antes de reexpresiones o revaluaciones,
1020106,369,MAQUINARIA Y EQUIPO,Ajuste acumulado por reexpresiones o revaluaciones,
1020107,366,"NAVES, AEREONAVES, BARCAZAS Y SIMILARES",Costo histórico antes de reexpresiones o revaluaciones,
1020107,367,"NAVES, AEREONAVES, BARCAZAS Y SIMILARES",Ajuste acumulado por reexpresiones o revaluaciones,
1020108,374,EQUIPO DE COMPUTACIÓN,Equipo de Computación,
1020109,375,"VEHÍCULOS, EQUIPOS DE TRASPORTE Y EQUIPO CAMINERO MÓVIL","Vehículos, Equipo de Transporte y Caminero Móvil",
1020110,383,"OTROS PROPIEDADES, PLANTA Y EQUIPO","Otras Propiedades, Planta y Equipo",
1020111,383,REPUESTOS Y HERRAMIENTAS,"Otras Propiedades, Planta y Equipo",
1020112,384,"(-) DEPRECIACIÓN ACUMULADA PROPIEDADES, PLANTA Y EQUIPO",Del costo histórico antes de reexpresiones o revaluaciones,
1020112,385,"(-) DEPRECIACIÓN ACUMULADA PROPIEDADES, PLANTA Y EQUIPO",Del ajuste acumulado por reexpresiones o revaluaciones,
1020113,386,"(-) DETERIORO  ACUMULADO DE PROPIEDADES, PLANTA Y EQUIPO","(-) Deterioro acumulado del valor de propiedades, planta y equipo",
1020114,,ACTIVOS DE EXPLORACION Y EXPLOTACION,,
102011401,408,ACTIVOS DE EXPLORACION Y EXPLOTACION,Tangibles,
102011401,409,ACTIVOS DE EXPLORACION Y EXPLOTACION,Intangibles,
102011402,410,(-) AMORTIZACION ACUMULADA DE ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN,"(-) Depreciación / amortización acumulada de activos para exploración, evaluación y explotación",
102011403,411,(-) DETERIORO  ACUMULADO DE ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN,"(-) Deterioro acumulado del valor de activos para exploración, evaluación y explotación",
10202,,PROPIEDADES DE INVERSIÓN,,
1020201,,TERRENOS,,
102020101,394,TERRENOS,A costo,
102020101,395,TERRENOS,A valor razonable,
102020102,,DERECHOS DE USO SOBRE TERRENOS SUBARRENDADOS,,
1020202,,EDIFICIOS,,
102020201,396,EDIFICIOS,A costo,
102020201,397,EDIFICIOS,A valor razonable,
102020202,,DERECHOS DE USO SOBRE EDIFICIOS SUBARRENDADOS,,
1020203,398,(-) DEPRECIACION ACUMULADA DE PROPIEDADES DE INVERSIÓN,(-) Depreciación Acumulada de Propiedades de Inversión,
1020204,399,(-) DETERIORO ACUMULADO DE PROPIEDADES DE INVERSIÓN,(-) Deterioro Acumulado del Valor de Propiedades de Inversión,
10203,,ACTIVOS BIOLOGICOS,,
1020301,404,ANIMALES VIVOS EN CRECIMIENTO,A costo,
1020302,407,ANIMALES VIVOS EN PRODUCCION,A valor razonable menos los costos de venta,
1020303,400,PLANTAS EN CRECIMIENTO,A costo,
1020304,403,PLANTAS EN PRODUCCION,A valor razonable menos los costos de venta,
1020305,401,(-) DEPRECIACION ACUMULADA DE ACTIVOS BIOLÓGICOS,(-) Depreciación acumulada de activos biológicos medidos a costo Plantas,
1020305,405,(-) DEPRECIACION ACUMULADA DE ACTIVOS BIOLÓGICOS,(-) Depreciación acumulada de activos biológicos medidos a costo Animales Vivos,
1020306,402,(-) DETERIORO ACUMULADO DE ACTIVOS BIOLOGÍCOS,(-) Deterioro acumulado del valor de activos biológicos medidos a costo ´Plantas,
1020306,406,(-) DETERIORO ACUMULADO DE ACTIVOS BIOLOGÍCOS,(-) Deterioro acumulado del valor de activos biológicos medidos a costo Animales Vivos,
10204,,ACTIVO INTANGIBLE,,
1020401,387,PLUSVALÍAS,Plusvalía o goodwill (derecho de llave),
1020402,388,"MARCAS, PATENTES, DERECHOS DE LLAVE , CUOTAS PATRIMONIALES Y OTROS SIMILARES","Marcas, patentes, licencias y otros similares",
1020403,390,CONCESIONES Y LICENCIAS,Derechos en acuerdos de concesión,
1020404,,ACTIVOS DE EXPLORACION Y EXPLOTACION,,
1020405,392,(-) AMORTIZACIÓN ACUMULADA DE ACTIVOS INTANGIBLE,(-) Amortización acumulada de activos intangibles,
1020406,393,(-) DETERIORO ACUMULADO DE ACTIVO INTANGIBLE,(-) Deterioro acumulado de activos intangibles,
1020407,389,OTROS INTANGIBLES,Adecuaciones y mejoras en bienes arrendados mediante arrendamiento operativo,
1020407,391,OTROS INTANGIBLES,Otros,
10205,440,ACTIVOS POR IMPUESTOS DIFERIDOS,Por diferencias temporarias,
10205,441,ACTIVOS POR IMPUESTOS DIFERIDOS,Por pérdidas tributarias sujetas a amortización en periodos siguientes,
10205,442,ACTIVOS POR IMPUESTOS DIFERIDOS,Crédito tributario a favor del sujeto pasivo (ISD),
10205,443,ACTIVOS POR IMPUESTOS DIFERIDOS,Crédito tributario a favor del sujeto pasivo (Impuesto a la Renta),
10206,,ACTIVOS FINANCIEROS NO CORRIENTES,,
1020601,437,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL,A valor razonable,
1020602,436,"(-) PROVISION POR DETERIORO DE ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO
RESULTADO INTEGRAL",(-) Deterioro acumulado del valor  de otros activos financieros no corrientes medidos a costo amortizado (provisiones para créditos incobrables),
1020603,435,ACTIVOS FINANCIEROS A COSTO AMORTIZADO,A costo amortizado,
1020604,436,(-) PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS A COSTO AMORTIZADO,(-) Deterioro acumulado del valor  de otros activos financieros no corrientes medidos a costo amortizado (provisiones para créditos incobrables),
1020605,437,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,A valor razonable,
1020606,436,(-)PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,(-) Deterioro acumulado del valor  de otros activos financieros no corrientes medidos a costo amortizado (provisiones para créditos incobrables),
10207,,DERECHO DE USO POR ACTIVOS ARRENDADOS,,
1020701,491,(-) DEPRECIACIÓN ACUMULADA DE ACTIVOS PROVENIENTES POR DERECHOS DE USO,(-) Amortización acumulada de derechos de uso por activos arrendados,
1020702,393,(-) DETERIORO ACUMULADO DE ACTIVOS PROVENIENTES POR DERECHOS DE USO,(-) Deterioro acumulado de activos intangibles,
1020703,490,DERECHO DE USO POR ACTIVOS ARRENDADOS,Derechos de uso por activos arrendados,
10208,,OTROS ACTIVOS NO CORRIENTES,,
1020801,437,DERECHOS FIDUCIARIOS,A valor razonable,
1020802,437,DEPÓSITOS EN GARANTÍA,A valor razonable,
1020803,437,DEPÓSITOS EN GARANTÍA POR OPERACIONES BURSÁTILES,A valor razonable,
1020805,437,ACCIONES DEL DEPÓSITO CENTRALIZADO DE VALORES,A valor razonable,
1020806,412,INVERSIONES SUBSIDIARIAS,Costo,
1020806,413,INVERSIONES SUBSIDIARIAS,Ajuste acumulado por aplicación del método de la participación (valor patrimonial proporcional),
1020807,414,INVERSIONES ASOCIADAS,Costo,
1020807,415,INVERSIONES ASOCIADAS,Ajuste acumulado por aplicación del método de la participación (valor patrimonial proporcional),
1020808,416,INVERSIONES NEGOCIOS CONJUNTOS,Costo,
1020808,417,INVERSIONES NEGOCIOS CONJUNTOS,Ajuste acumulado por aplicación del método de la participación (valor patrimonial proporcional),
1020809,418,OTRAS INVERSIONES,"Otros Derechos Representativos de Capital en Sociedades que no son Subsidiarias, ni Asociadas, ni Negocios Conjuntos",
1020810,419,(-) PROVISIÓN VALUACIÓN DE INVERSIONES,(-) Deterioro Acumulado del Valor de Inversiones no Corrientes,
1020811,445,OTROS ACTIVOS NO CORRIENTES,Otros Activos No Corrientes,
10209,,DOCUMENTOS Y CUENTAS POR COBRAR NO RELACIONADOS,,
1020901,423,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES,Locales,
1020901,424,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES,Del exterior,
1020902,432,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS,Locales,
1020902,433,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS,Del exterior,
1020903,432,OTRAS CUENTAS POR COBRAR NO RELACIONADAS,Locales,
10210,,DOCUMENTOS Y CUENTAS POR COBRAR RELACIONADOS,,
1021001,426,POR COBRAR A ACCIONISTAS,Locales,
1021001,427,POR COBRAR A ACCIONISTAS,Del exterior,
1021002,429,POR COBRAR A COMPAÑÍAS RELACIONADAS,Locales,
1021002,430,POR COBRAR A COMPAÑÍAS RELACIONADAS,Del exterior,
1021003,420,POR COBRAR A CLIENTES,Locales,
1021003,421,POR COBRAR A CLIENTES,Del exterior,
1021004,429,OTRAS CUENTAS POR COBRAR RELACIONADAS,Locales,
2,,PASIVO,,
201,,PASIVO CORRIENTE,,
20101,530,PASIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,A valor razonable,
20102,531,PASIVOS POR CONTRATOS DE ARRENDAMIENTO,Porción Corriente de Arrendamientos Financieros Por Pagar,
20102,593,PASIVOS POR CONTRATOS DE ARRENDAMIENTO,Pasivo corriente por arrendamiento,
20103,,CUENTAS Y DOCUMENTOS POR PAGAR,,
2010301,,LOCALES,,
201030101,527,PRÉSTAMOS,Crédito A Mutuo,
201030102,511,PROVEEDORES,Locales Relacionados,
201030102,513,PROVEEDORES,Locales No  Relacionados,
201030103,521,OTRAS,Locales,
2010302,,DEL EXTERIOR,,
201030201,527,PRÉSTAMOS,Crédito A Mutuo,
201030202,512,PROVEEDORES,Del exterior Relacionados,
201030202,514,PROVEEDORES,Del exterior No  Relacionados,
201030203,522,OTRAS,Del exterior,
20104,,OBLIGACIONES CON INSTITUCIONES FINANCIERAS,,
2010401,525,LOCALES,Locales,
2010402,526,DEL EXTERIOR,Del exterior,
20105,,PROVISIONES,,
2010501,537,LOCALES,Por garantías,
2010501,538,LOCALES,Por desmantelamiento,
2010501,539,LOCALES,Por contratos onerosos,
2010501,540,LOCALES,Por reestructuraciones de negocios,
2010501,541,LOCALES,Por reembolsos a clientes,
2010501,542,LOCALES,Por litigios,
2010501,543,LOCALES,Por pasivos contingentes asumidos en una combinación de negocios,
2010501,544,LOCALES,Otras,
2010502,537,DEL EXTERIOR,Por garantías,
2010502,538,DEL EXTERIOR,Por desmantelamiento,
2010502,539,DEL EXTERIOR,Por contratos onerosos,
2010502,540,DEL EXTERIOR,Por reestructuraciones de negocios,
2010502,541,DEL EXTERIOR,Por reembolsos a clientes,
2010502,542,DEL EXTERIOR,Por litigios,
2010502,543,DEL EXTERIOR,Por pasivos contingentes asumidos en una combinación de negocios,
2010502,544,DEL EXTERIOR,Otras,
20106,,PORCIÓN CORRIENTE DE VALORES EMITIDOS,,
2010601,528,OBLIGACIONES,Porción Corriente de Obligaciones Emitidas,
2010602,528,PAPEL COMERCIAL,Porción Corriente de Obligaciones Emitidas,
2010603,528,VALORES DE TITULARIZACIÓN,Porción Corriente de Obligaciones Emitidas,
2010604,528,OTROS,Porción Corriente de Obligaciones Emitidas,
2010605,528,INTERESES POR PAGAR,Porción Corriente de Obligaciones Emitidas,
20107,,OTRAS OBLIGACIONES CORRIENTES,,
2010701,549,CON LA ADMINISTRACIÓN TRIBUTARIA,Otros,
2010702,532,IMPUESTO A LA RENTA POR PAGAR DEL EJERCICIO,Impuesto A La Renta Por Pagar Del Ejercicio,
2010703,534,CON EL IESS,Obligaciones con el IESS,
2010704,536,POR BENEFICIOS DE LEY A EMPLEADOS,Otros Pasivos Corrientes Por Beneficios a Empleados,
2010705,533,PARTICIPACIÓN TRABAJADORES POR PAGAR DEL EJERCICIO,Participación trabajadores por pagar del ejercicio,
2010706,517,DIVIDENDOS POR PAGAR,En efectivo,
2010706,518,DIVIDENDOS POR PAGAR,En activos diferentes del efectivo,
2010707,549,OTROS,Otros,
20108,,CUENTAS POR PAGAR A RELACIONADAS,,
2010801,,LOCALES,,
201080101,515,PRÉSTAMOS DE ACCIONISTAS,Locales,
201080102,519,PRÉSTAMOS DE COMPAÑÍAS RELACIONADAS,Locales,
201080103,511,PROVEEDORES,Locales,
201080104,519,OTROS,Locales,
2010802,,DEL EXTERIOR,,
201080201,516,PRÉSTAMOS DE ACCIONISTAS,Del exterior,
201080202,520,PRÉSTAMOS DE COMPAÑÍAS RELACIONADAS,Del exterior,
201080203,512,PROVEEDORES,Del exterior,
201080204,520,OTROS,Del exterior,
20109,529,OTROS PASIVOS FINANCIEROS,A costo amortizado,
20109,530,OTROS PASIVOS FINANCIEROS,A valor razonable,
20110,,ANTICIPOS,,
2011001,545,ANTICIPOS DE CLIENTES,Anticipos de clientes,
2011002,546,OTROS ANTICIPOS RECIBIDOS,Subvenciones del Gobierno,
