codigo_super_cias,etiqueta,actividad,columna,categoria
10102050203,CUENTAS POR COBRAR AL ORIGINADOR,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
10102050204,COMISIONES POR OPERACIONES  BURSÁTILES,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
10102050207,CONTRATO DE UNDERWRITING,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
10102050208,POR  ADMINISTRACIÓN Y MANEJO DE PORTAFOLIOS DE TERCEROS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
10102050209,POR ADMINISTRACIÓN Y MANEJO DE FONDOS ADMINISTRADOS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
10102050210,POR ADMINISTRACIÓN Y MANEJO DE NEGOCIOS FIDUCIARIOS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
10102050211,POR CUSTODIA Y CONSERVACIÓN DE VALORES MATERIALIZADOS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
10102050212,POR CUSTODIA Y CONSERVACIÓN DE VALORES DESMATERIALIZADOS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
10102050213,POR MANEJO DE LIBRO DE ACCIONES Y ACCIONISTAS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
10102050214,POR ASESORÍA,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
